train_number,station,time
142,Mountain View,04:24 PM
142,Sunnyvale,04:28 PM
142,Lawrence,04:31 PM
142,Santa Clara,04:36 PM
142,San Jose Diridon,04:42 PM
143,San Jose Diridon,03:28 PM
143,Santa Clara,03:34 PM
143,Lawrence,03:39 PM
143,Sunnyvale,03:42 PM
143,Mountain View,03:46 PM
143,San Antonio,03:49 PM
143,California Avenue,03:52 PM
143,Palo Alto,03:55 PM
143,Menlo Park,03:58 PM
143,Redwood City,04:03 PM
143,San Carlos,04:07 PM
143,Belmont,04:09 PM
143,Hillsdale,04:12 PM
143,Hayward Park,04:15 PM
143,San Mateo,04:17 PM
143,Burlingame,04:20 PM
143,Millbrae,04:24 PM
143,San Bruno,04:27 PM
143,S. San Francisco,04:30 PM
143,Bayshore,04:35 PM
143,22Nd Street,04:40 PM
143,San Francisco,04:46 PM
144,San Francisco,03:55 PM
144,22Nd Street,04:00 PM
144,Bayshore,04:04 PM
144,S. San Francisco,04:10 PM
144,San Bruno,04:13 PM
144,Millbrae,04:16 PM
144,Burlingame,04:20 PM
144,San Mateo,04:23 PM
144,Hayward Park,04:25 PM
144,Hillsdale,04:27 PM
